Date Added,Frequency,Word/Expression,Definition,Source,Context,Notes
2024/06/30 11:08:00,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/bluefin"", ""bluefin"")",flesh of very large tuna,One Piece,-What the hell is this? -I call it a True Bluefin Sauté.,
2024/06/30 11:21:47,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/iou"", ""iou"")",an informal debt instrument; representing `I owe you',One Piece,-Bet you regret giving him that IOU. -I don't really do regret.,
2024/06/30 11:31:30,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/imitates"", ""imitates"")",reproduce someone's behavior or looks,One Piece,And again. [imitates explosion],
2024/06/30 11:35:44,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/sashimi"", ""sashimi"")",very thinly sliced raw fish,One Piece,-He will slice you into sashimi. -What's going on?,
2024/06/30 11:40:53,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/croak"", ""croak"")",a harsh hoarse utterance (as of a frog),One Piece,Croak. Croak. Croak.,
2024/06/30 16:09:10,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/freakishly"", ""freakishly"")",unpredictably,One Piece,"I mean, he's got a really big head. It's, like, freakishly big.",
2024/06/30 16:10:41,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/demote"", ""demote"")",assign to a lower position; reduce in rank,One Piece,"I demoted you, remember?",
2024/06/30 16:12:27,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/yellowtail"", ""yellowtail"")",superior food fish of the tropical Atlantic and Caribbean with broad yellow stripe along the sides and on the tail,One Piece,A yellowtail?,
2024/06/30 16:14:35,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/shanty"", ""shanty"")",small crude shelter used as a dwelling,One Piece,Talk to him. Tell him stories. Sing him sea shanties for all I care.,
2024/06/30 16:21:09,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/oregano"", ""oregano"")",aromatic Eurasian perennial,One Piece,Needs oregano.,
2024/06/30 16:34:24,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/outgrow"", ""outgrow"")",grow too large or too mature for,One Piece,"-We all have dreams, but we outgrow them. -[Luffy] Is that really what you think?",
2024/06/30 16:54:36,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/snotty-nosed"", ""snotty-nosed"")",marked by casual disrespect,One Piece,You've been yammering on about that since you was a snotty-nosed little brat.,
2024/07/02 18:39:08,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/onlooker"", ""onlooker"")",someone who looks on,One Piece,[onlookers] Oh!,
2024/07/02 18:54:39,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/terrify"", ""terrify"")",fill with terror; frighten greatly,One Piece,She's a bad guy. The villagers are terrified of her.,
2024/07/02 19:12:14,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/mistral"", ""mistral"")",a strong north wind that blows in France during the winter,One Piece,"-Two Mistral Shooters, good man. -[bartender] Coming right up.",
2024/07/02 19:13:57,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/mutinous"", ""mutinous"")",disposed to or in a state of mutiny,One Piece,Thought it'd take a lot more liquor to bring out your mutinous side.,
2024/07/02 19:16:43,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/elude"", ""elude"")","escape, either physically or mentally",One Piece,"The longer they elude you, the more satisfying the catch.",
2024/07/03 17:47:18,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/indistinctly"", ""indistinctly"")",in a dim indistinct manner,One Piece,[whispers indistinctly],
2024/07/03 17:50:56,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/eggshell"", ""eggshell"")",the exterior covering of a bird's egg,One Piece,when he found an eggshell in the crème brûlée.,
2024/07/03 17:53:34,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/badmouth"", ""badmouth"")",speak unfavorably about,One Piece,You don't ever badmouth Nami.,
2024/07/03 17:54:38,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/mouton"", ""mouton"")",meat from a mature domestic sheep,One Piece,Mouton Shot!,
2024/07/03 18:01:35,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/scoff"", ""scoff"")",showing your contempt by derision,One Piece,[Garp scoffs],
